Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.374124,7.374124,7.291268,7.291268,1.633034,407940
1962-01-03,7.291268,7.355003,7.291268,7.355003,1.647308,305955
1962-01-04,7.355003,7.355003,7.278521,7.281708,1.630893,274575
1962-01-05,7.272148,7.272148,7.125558,7.138305,1.598774,384405
1962-01-08,7.131931,7.131931,6.947100,7.004461,1.568796,572685
1962-01-09,7.036329,7.176546,7.036329,7.087317,1.587354,517770
1962-01-10,7.100064,7.131931,7.100064,7.100064,1.590211,313800
1962-01-11,7.119184,7.176546,7.119184,7.176546,1.607340,337335
1962-01-12,7.189293,7.240280,7.189293,7.189293,1.610194,462855
1962-01-15,7.214786,7.237094,7.214786,7.221160,1.617333,266730
1962-01-16,7.214786,7.214786,7.144678,7.144678,1.600202,266730
1962-01-17,7.112811,7.112811,7.010835,7.029955,1.574506,439320
1962-01-18,7.049076,7.119184,7.049076,7.049076,1.578790,392250
1962-01-19,7.049076,7.068196,6.972594,7.055449,1.580216,423630
1962-01-22,7.055449,7.125558,7.036329,7.042702,1.577361,290265
1962-01-23,7.039516,7.049076,6.959847,6.972594,1.561659,392250
1962-01-24,6.972594,7.010835,6.937540,7.010835,1.570224,431475
1962-01-25,7.010835,7.068196,6.921606,6.934353,1.553094,337335
1962-01-26,6.934353,6.959847,6.896112,6.899299,1.545244,258885
1962-01-29,6.899299,6.947100,6.781389,6.781389,1.518836,611910
1962-01-30,6.781389,6.819630,6.695347,6.695347,1.499564,776655
1962-01-31,6.762269,6.908859,6.762269,6.908859,1.547385,800190
1962-02-01,6.978967,7.087317,6.978967,7.068196,1.583071,674670
1962-02-02,7.068196,7.112811,7.036329,7.112811,1.593065,533460
1962-02-05,7.112811,7.112811,6.985341,7.023582,1.573079,329490
1962-02-06,7.023582,7.036329,6.998088,7.029955,1.574720,274575
1962-02-07,7.036329,7.074570,7.036329,7.036329,1.576149,266730
1962-02-08,7.036329,7.074570,7.036329,7.042702,1.577576,23535
1962-02-09,7.042702,7.093690,7.010835,7.093690,1.588999,455010
1962-02-12,7.093690,7.151052,7.087317,7.100064,1.590427,298110
1962-02-13,7.100064,7.106437,6.985341,6.985341,1.564728,274575
1962-02-14,6.985341,7.010835,6.959847,6.972594,1.561871,219660
1962-02-15,6.972594,6.972594,6.940727,6.947100,1.556161,243195
1962-02-16,6.947100,6.972594,6.940727,6.940727,1.554733,235350
1962-02-19,6.940727,6.972594,6.857871,6.870618,1.539029,298110
1962-02-20,6.873805,6.908859,6.873805,6.873805,1.539743,305955
1962-02-21,6.873805,6.921606,6.822817,6.822817,1.528322,384405
1962-02-23,6.832377,6.857871,6.832377,6.845124,1.533319,305955
1962-02-26,6.845124,6.851498,6.806883,6.819630,1.527607,313800
1962-02-27,6.819630,6.876992,6.781389,6.832377,1.530464,368715
1962-02-28,6.832377,6.845124,6.794136,6.845124,1.533319,282420
1962-03-01,6.870618,6.927980,6.870618,6.927980,1.551880,298110
1962-03-02,6.985341,7.023582,6.985341,6.985341,1.564728,258885
1962-03-05,6.985341,6.985341,6.934353,6.959847,1.559016,376560
1962-03-06,6.959847,6.991714,6.947100,6.966221,1.560445,196125
1962-03-07,6.966221,6.988528,6.947100,6.988528,1.565441,133365
1962-03-08,6.988528,7.004461,6.947100,7.004461,1.569010,196125
1962-03-09,7.010835,7.049076,7.010835,7.049076,1.579006,305955
1962-03-12,7.049076,7.068196,7.023582,7.042702,1.577576,298110
1962-03-13,7.042702,7.042702,7.010835,7.036329,1.576149,133365
1962-03-14,7.036329,7.055449,7.010835,7.023582,1.573294,211815
1962-03-15,7.023582,7.061823,7.010835,7.010835,1.570438,258885
1962-03-16,7.010835,7.042702,7.010835,7.042702,1.577576,172590
1962-03-19,7.055449,7.087317,7.055449,7.061823,1.581860,392250
1962-03-20,7.049076,7.049076,7.017208,7.017208,1.571865,172590
1962-03-21,7.017208,7.036329,6.998088,7.023582,1.573294,274575
1962-03-22,6.998088,6.998088,6.947100,6.947100,1.556161,251040
1962-03-23,6.953474,6.985341,6.953474,6.972594,1.561871,196125
1962-03-26,6.972594,6.998088,6.959847,6.969407,1.561159,141210
1962-03-27,6.953474,6.953474,6.832377,6.838751,1.531892,368715
1962-03-28,6.845124,6.896112,6.845124,6.876992,1.540458,345180
1962-03-29,6.876992,6.908859,6.857871,6.857871,1.536174,243195
1962-03-30,6.845124,6.845124,6.759082,6.790950,1.521184,462855
1962-04-02,6.787763,6.787763,6.698534,6.698534,1.500482,392250
1962-04-03,6.692161,6.692161,6.462715,6.532823,1.463362,957090
1962-04-04,6.532823,6.590185,6.504143,6.504143,1.456938,682515
1962-04-05,6.539197,6.641173,6.539197,6.641173,1.487634,957090
1962-04-06,6.641173,6.692161,6.590185,6.634799,1.486206,455010
1962-04-09,6.634799,6.673040,6.590185,6.641173,1.487634,23535
1962-04-10,6.641173,6.666667,6.602932,6.666667,1.493345,274575
1962-04-11,6.666667,6.717655,6.577438,6.577438,1.473356,556995
1962-04-12,6.577438,6.590185,6.507330,6.507330,1.457652,423630
1962-04-13,6.507330,6.602932,6.500956,6.602932,1.479067,658980
1962-04-16,6.602932,6.647546,6.526450,6.596558,1.477639,533460
1962-04-17,6.596558,6.628426,6.564691,6.628426,1.484778,313800
1962-04-18,6.628426,6.685787,6.609305,6.615679,1.481923,447165
1962-04-19,6.615679,6.641173,6.590185,6.615679,1.481923,407940
1962-04-23,6.615679,6.622052,6.583811,6.609305,1.480494,329490
1962-04-24,6.609305,6.650733,6.596558,6.602932,1.479067,478545
1962-04-25,6.602932,6.628426,6.532823,6.532823,1.463362,486390
1962-04-26,6.526450,6.526450,6.367113,6.367113,1.426243,972780
1962-04-27,6.367113,6.437221,6.118547,6.188655,1.386269,1710210
1962-04-30,6.188655,6.246017,5.736138,5.787126,1.296326,2455485
1962-05-01,5.787126,5.920969,5.481198,5.889101,1.319168,5562105
1962-05-02,5.991077,6.169535,5.991077,6.022945,1.349151,2675145
1962-05-03,6.022945,6.169535,5.978330,6.147228,1.376990,1427790
1962-05-04,6.147228,6.195029,6.086679,6.195029,1.387697,815880
1962-05-07,6.195029,6.242830,6.057999,6.057999,1.357001,870795
1962-05-08,6.050032,6.050032,5.857234,5.857234,1.312236,1082610
1962-05-09,5.857234,5.911409,5.736138,5.748885,1.287963,1678830
1962-05-10,5.748885,5.860421,5.723391,5.774379,1.293673,2000475
1962-05-11,5.774379,5.863607,5.659656,5.685150,1.273684,1984785
1962-05-14,5.685150,5.793499,5.586361,5.793499,1.297957,2855580
